epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.434,1.54201,2.94393,1.20183,0.32546,0.40019,0.31359,0.18463,1.38023,2.37089,1.11232,0.000237881,0.000237881,0.000237881
2,681.762,1.48597,2.13661,1.18501,0.46457,0.41181,0.38004,0.23682,1.331,1.90573,1.09127,0.000381656,0.000381656,0.000381656
3,1002.06,1.4416,1.93296,1.18049,0.5438,0.48462,0.48245,0.29888,1.30761,1.61023,1.09533,0.000431184,0.000431184,0.000431184
4,1324.23,1.37914,1.7494,1.14677,0.59576,0.46523,0.4962,0.32071,1.25964,1.49703,1.06839,0.000289884,0.000289884,0.000289884
5,1664.72,1.32497,1.62318,1.12597,0.59762,0.49969,0.54145,0.34472,1.22123,1.34988,1.05748,0.000148512,0.000148512,0.000148512
